language,fname,mname,lname,DOB,street,postal_code,city,state,country_code,drivers_license,ss,occupation,phone_home,phone_biz,phone_contact,phone_cell,status,contact_relationship,date,sex,email,email_direct,ethnoracial,race,ethnicity,religion,family_size,monthly_income,homeless,pid,county,sexual_orientation,gender_identity,street_line_2,preferred_name,nationality_country
Español,Nicole,Cataleya,ORRICO,1986-02-07,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC628194316,41278093525,Dentista,+52(664)8871563,+52(664)5642776,+52(664)7384290,+52(664)5784902,Separad@ legalmente,,2007-07-27,Female,oswaldo00@gmail.com,oswaldo00@gmail.com,Indígena,Indígena,Indígena,Protestante/Cristiano evangélico,Cinco,29637,Falso,0,Tijuana,Straight or heterosexual,Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN DEL PADRE,Nicole,México
Español,Jade,Sherlyn,SIRIA,1950-01-28,PARÍS1650,22054,Tijuana,Baja California,MEX,BC319140159,42747096404,Agente de aduanas,+52(664)3676601,+52(664)5611807,+52(664)1246222,+52(664)6327491,UniÃ³n libre,,2007-05-08,Female,vespinoza@hotmail.com,vespinoza@hotmail.com,Indígena,Indígena,Indígena,Sin adscripción religiosa (creyente),Tres,29637,Falso,1,Tijuana,Bisexual,Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Sherlyn,México
Español,Angel,Liam,CASTAÑO,1992-07-26,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC665776639,84846923278,Limpiador y asistente doméstico,+52(664)4776255,+52(664)7201594,+52(664)9549837,+52(664)7221238,Divorciad@,,2003-11-08,Male,mauroelizondo@hotmail.com,mauroelizondo@hotmail.com,Indígena,Indígena,Indígena,Sin adscripción religiosa (creyente),Cuatro,29637,Verdadero,2,Tijuana,Bisexual,"Genderqueer, neither exclusively male nor female",CAÑÓN DEL PADRE,Angel,México
Español,Guadalupe,Ana,BALLESTER,2003-09-02,PARÍS1650,22054,Tijuana,Baja California,MEX,BC029659311,99714733088,Instructor en tecnologías de la información,+52(664)8963367,+52(664)6874718,+52(664)3606449,+52(664)9107383,Separad@,,2010-09-26,Rather not say,polancoines@gmail.com,polancoines@gmail.com,Indígena,Indígena,Indígena,Sin religión,Cuatro,29637,Verdadero,3,Tijuana,Bisexual,"Additional gender category or other, please specify",CAÑÓN ALTAMIRA GUERRERO,Guadalupe,México
Español,Brayan,Angel,TE,1986-07-16,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC752458609,58611573914,Director de investigación y desarrollo,+52(664)2867945,+52(664)4021541,+52(664)4099259,+52(664)6008993,Separad@,,2013-12-19,Rather not say,dramos@gmail.com,dramos@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin religión,Cinco,29637,Falso,4,Tijuana,Straight or heterosexual,"Genderqueer, neither exclusively male nor female",CAÑÓN DEL PADRE,Angel,México
Español,Jose,Diego,XOSPA,1952-03-05,PARÍS1650,22054,Tijuana,Baja California,MEX,BC341478079,63707067557,Constructor de casas,+52(664)3312157,+52(664)8449729,+52(664)8817004,+52(664)8058469,Divorciad@,,2017-05-21,Male,vsamaniego@yahoo.com,vsamaniego@yahoo.com,Mestiza/o,Mestiza/o,Mestiza/o,Católica,Tres,29637,Falso,5,Tijuana,"Something else, please describe",Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN ALTAMIRA GUERRERO,Diego,México
Español,Sofia,Cristina,ALAYON,1983-07-28,PARÍS1650,22054,Tijuana,Baja California,MEX,BC751754966,73951852166,Escribiente público,+52(664)8671598,+52(664)6335514,+52(664)8383282,+52(664)7771380,UniÃ³n libre,,2000-05-07,Female,teransandra@gmail.com,teransandra@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Católica,Cuatro,29637,Falso,6,Tijuana,Bisexual,Identifies as Male,CAÑÓN ALTAMIRA GUERRERO,Sofia,México
Español,Eithan,Uriel,COUOH,1975-09-12,PARÍS1650,22054,Tijuana,Baja California,MEX,BC978363691,31177983793,Criador de ganado,+52(664)9400036,+52(664)5505345,+52(664)7774043,+52(664)6799112,Divorciad@,,2016-09-08,Rather not say,conchita38@hotmail.com,conchita38@hotmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Otras religiones,Cinco,29637,Verdadero,7,Tijuana,Bisexual,Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Eithan,México
Español,Valentina,Elena,LOO,1945-05-04,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC296027555,60779778533,Orfebre,+52(664)8398951,+52(664)7818569,+52(664)4708277,+52(664)5675242,Casad@,,2000-08-27,Female,felipebalderas@hotmail.com,felipebalderas@hotmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Católica,Cinco,29637,Verdadero,8,Tijuana,Bisexual,Identifies as Male,CAÑÓN DEL PADRE,Valentina,México
Español,Nayeli,Lia,DILLANES,1946-05-03,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC894541727,24490888633,Organizador de conferencias y eventos,+52(664)8069663,+52(664)5928965,+52(664)7670805,+52(664)2855930,UniÃ³n libre,,2023-05-19,Rather not say,marteaga@yahoo.com,marteaga@yahoo.com,Mestiza/o,Mestiza/o,Mestiza/o,Protestante/Cristiano evangélico,Tres,29637,Verdadero,9,Tijuana,"Lesbian, gay or homosexual",Identifies as Female,CAÑÓN DEL PADRE,Lia,México
